customer_id,name,dob,city,email,phone
1,Marc Anderson,1989-01-12,Andersonshire,ohess@example.org,001-617-938-2703x060
2,Stacey Mason,2005-04-04,Jonesfurt,hailey00@example.net,7177151759
3,Katherine Henry,1962-07-24,New Terri,xcombs@example.net,653.998.6616
4,Linda Jones,1966-11-15,North William,kennethwest@example.com,395.979.0461x8840
5,Darren Benjamin,1998-11-17,South Danielfurt,zmorales@example.org,561.525.3682x175
6,Cameron Wagner,1970-06-10,Rayview,brownsara@example.org,9808011944
7,Jennifer Clarke,1960-09-14,Lake Jonathan,kennethnichols@example.net,849-445-3578x3252
8,Steven Garner,1995-01-08,Gonzalesville,mikayla86@example.net,797.368.8223
9,Mark Taylor,1969-04-15,Mckeeview,brownstephanie@example.net,001-373-225-8155
10,Dawn Owens,1992-08-05,Burnsburgh,ufrancis@example.com,8796528152
11,Jared Garrett,2002-03-06,Vegaburgh,hlewis@example.com,+1-519-448-7504
12,Isaiah Brooks,1977-09-15,South Allenmouth,emilyfinley@example.org,531.284.7916
13,Jimmy Smith,1967-12-09,Wilkinston,mjohnson@example.org,+1-988-496-3121x929
14,Manuel Hernandez,1967-06-05,West Brian,pguerra@example.com,(221)820-1666x654
15,Linda Smith,1977-09-23,Johnport,steven59@example.com,(559)819-0338
16,Sheila Carney,1989-08-24,East Crystalmouth,cory62@example.net,+1-354-568-7535
17,Jessica Young,1981-09-12,Lake Alexisside,lmercado@example.net,8376109447
18,Jessica Dennis,1957-04-14,Katrinaville,saundersjacqueline@example.com,226-218-5867x8964
19,Angela Black,1979-04-28,Debrabury,steve40@example.org,685.813.6113x8137
20,Luke Barton,2003-09-24,Andersonview,valdezoscar@example.com,(425)523-7177x89982
21,Donald Adams,1959-12-10,North Jessica,joseph30@example.org,(494)767-7709
22,Brian Smith,1983-11-30,Port Amber,meganbrewer@example.net,+1-505-523-0869x4424
23,Toni Nash,2005-12-01,Port Rachelland,brandiross@example.com,315.603.0161x2076
24,Roger Martinez,1990-12-25,Charlesside,kenneth73@example.net,001-483-959-2954x055
25,Francis Grimes,1987-08-06,West Alexis,lisa07@example.net,001-274-690-0738x030
26,Tiffany Kemp,1963-12-25,Browntown,wendycannon@example.net,001-878-326-4020x838
27,Julie Thompson,1979-02-11,Grahamton,gburns@example.net,001-787-279-5583x0030
28,Jennifer Robinson,1968-03-27,Ponceview,jessejames@example.com,783-663-7969
29,Christopher Brown,1957-12-20,West John,elizabethjohnson@example.net,740-250-7285x096
30,Zachary Roberts,1961-10-14,East Allison,whart@example.org,(373)713-7414x649
31,Casey Gray,1976-07-13,Wilsonberg,gwilson@example.org,+1-771-544-6673
32,Rebecca Richardson,1969-07-14,Port Josephville,jessica01@example.net,+1-994-892-4328x2156
33,Justin Harrison,1993-09-05,Diazmouth,ronaldlittle@example.org,001-736-554-1710x9179
34,Donna Romero,1988-06-28,Kingburgh,ujensen@example.org,+1-505-204-1294
35,Samantha Lewis,1970-09-22,Port Adam,lisa44@example.com,(314)285-7451x529
36,Kathryn Gonzalez,2002-03-28,West Calvin,andrea16@example.org,(812)565-9159x5991
